id,localTime,utcTime,mag,magType,depth_km,lat,lon,place,status,dist_from_epicenter_km
SGC2026pruxwr,2026-08-10 22:52,2026-08-11 03:52,1.9,MLr_1,82.0,4.495833333333334,-76.6485,"Sipí - Chocó, Colombia",manual,63.1
SGC2026prvcwx,2026-08-10 22:58,2026-08-11 03:58,1.8,MLr_1,83.0,4.852927686085744,-76.36089828061091,"San José del Palmar - Chocó, Colombia",manual,15.7
SGC2026prvvnx,2026-08-10 23:20,2026-08-11 04:20,1.7,MLr_1,100.0,4.239166666666667,-76.61216666666667,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,82.5
SGC2026prvxjf,2026-08-10 23:22,2026-08-11 04:22,2.2,MLr_1,85.0,4.885710966140612,-76.3365369676505,"San José del Palmar - Chocó, Colombia",manual,13.0
SGC2026prwshk,2026-08-10 23:47,2026-08-11 04:47,1.8,MLr_1,110.0,4.4445,-76.66066666666667,"Sipí - Chocó, Colombia",manual,68.0
SGC2026prwufm,2026-08-10 23:48,2026-08-11 04:48,1.7,MLr_1,87.0,4.8255,-76.39283333333333,"San José del Palmar - Chocó, Colombia",manual,19.8
SGC2026prxoze,2026-08-11 00:12,2026-08-11 05:12,3.6,MLr_1,96.0,4.847111297688913,-76.39552243400995,"San José del Palmar - Chocó, Colombia",manual,19.6
SGC2026pryomw,2026-08-11 00:42,2026-08-11 05:42,2.6,MLr_1,100.0,4.985118331468276,-76.18133223179932,"San José del Palmar - Chocó, Colombia",manual,13.5
SGC2026pryyzh,2026-08-11 00:54,2026-08-11 05:54,3.0,MLr_1,93.0,4.87725076483613,-76.37061639705767,"San José del Palmar - Chocó, Colombia",manual,16.7
SGC2026psbtju,2026-08-11 02:18,2026-08-11 07:18,2.3,MLr_1,84.0,4.720737040703212,-76.38690031769212,"Sipí - Chocó, Colombia",manual,24.8
SGC2026pscwyw,2026-08-11 02:52,2026-08-11 07:52,3.2,MLr_1,92.0,4.428860095698582,-76.74356771523067,"Istmina - Chocó, Colombia",manual,76.0
SGC2026psdoen,2026-08-11 03:12,2026-08-11 08:12,1.5,MLr_1,42.0,4.144666666666667,-76.78833333333333,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,102.3
SGC2026psdocc,2026-08-11 03:13,2026-08-11 08:13,2.8,MLr_1,54.0,4.120062748084988,-76.7697549238598,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,103.3
SGC2026psgdra,2026-08-11 04:31,2026-08-11 09:31,3.0,MLr_1,95.0,4.748232694942779,-76.48938004247863,"Sipí - Chocó, Colombia",manual,32.8
SGC2026psgwmn,2026-08-11 04:53,2026-08-11 09:53,2.7,MLr_1,88.0,4.9105,-76.386,"San José del Palmar - Chocó, Colombia",manual,18.9
SGC2026pskwdg,2026-08-11 06:53,2026-08-11 11:53,2.9,MLr_1,49.0,4.327337680044797,-76.6770005424548,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,78.8
SGC2026psocbx,2026-08-11 08:30,2026-08-11 13:30,2.3,MLr_1,91.0,4.75246279559502,-76.10347273033923,"Ansermanuevo - Valle del Cauca, Colombia",manual,18.4
SGC2026psqaow,2026-08-11 09:29,2026-08-11 14:29,2.8,MLr_1,94.0,4.845525009944322,-76.34060275198361,"San José del Palmar - Chocó, Colombia",manual,13.6
SGC2026psqimh,2026-08-11 09:38,2026-08-11 14:38,1.8,MLr_1,41.0,4.425687520209401,-76.77658568467864,"Istmina - Chocó, Colombia",manual,79.0
SGC2026psrkbh,2026-08-11 10:10,2026-08-11 15:10,3.1,MLr_1,89.0,4.847640060270443,-76.42378072073134,"San José del Palmar - Chocó, Colombia",manual,22.7
SGC2026pssmqj,2026-08-11 10:43,2026-08-11 15:43,3.9,MLr_1,92.0,4.899987555841926,-76.36699863508608,"San José del Palmar - Chocó, Colombia",manual,16.6
SGC2026pstxgo,2026-08-11 11:26,2026-08-11 16:26,2.1,MLr_1,41.0,4.483851404177715,-76.67990588007494,"Istmina - Chocó, Colombia",manual,66.6
SGC2026psudyk,2026-08-11 11:33,2026-08-11 16:33,2.7,MLr_1,88.0,4.865617988042467,-76.4078778234393,"San José del Palmar - Chocó, Colombia",manual,20.8
SGC2026psugkp,2026-08-11 11:36,2026-08-11 16:36,2.1,MLr_1,55.0,4.222642688901832,-76.80114170644936,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,96.6
SGC2026psukuu,2026-08-11 11:41,2026-08-11 16:41,2.2,MLr_1,42.0,4.549417964287451,-76.66318584081816,"Sipí - Chocó, Colombia",manual,60.7
SGC2026psurnp,2026-08-11 11:49,2026-08-11 16:49,1.7,MLr_1,18.0,4.540666666666667,-76.60133333333333,"Sipí - Chocó, Colombia",manual,55.9
SGC2026pszdet,2026-08-11 14:03,2026-08-11 19:03,2.7,MLr_1,48.0,4.118666666666667,-76.765,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,103.1
SGC2026ptasvg,2026-08-11 14:52,2026-08-11 19:52,2.1,MLr_1,52.0,4.165536330096579,-76.77742839093361,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,99.8
SGC2026ptbjje,2026-08-11 15:11,2026-08-11 20:11,2.5,MLr_1,29.0,5.92314315110272,-76.75989970174432,"Medio Atrato (Beté) - Chocó, Colombia",manual,131.5
SGC2026ptbsxk,2026-08-11 15:22,2026-08-11 20:22,2.5,MLr_1,36.0,4.536727662330728,-76.66312137299334,"Sipí - Chocó, Colombia",manual,61.5
SGC2026ptdtnh,2026-08-11 16:23,2026-08-11 21:23,2.3,MLr_1,84.0,4.746117644616659,-76.47231187963331,"Sipí - Chocó, Colombia",manual,31.2
SGC2026ptevqq,2026-08-11 16:56,2026-08-11 21:56,2.5,MLr_1,38.0,4.41828484406798,-76.73498944020298,"Istmina - Chocó, Colombia",manual,76.0
SGC2026ptftuf,2026-08-11 17:24,2026-08-11 22:24,3.5,MLr_1,116.0,4.893666666666666,-76.38883333333334,"San José del Palmar - Chocó, Colombia",manual,18.9
