time_utc,lat,lon,depth_km,mag,mag_type,region
2026-08-17 01:38:28,4.486,-76.684,42.94,2.3,MLr_1,"Istmina - Choco, Colombia"
2026-08-17 03:00:22,4.862,-76.341,90.53,2.7,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-17 03:19:52,4.843,-76.385,81.06,2.0,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-17 03:54:15,4.461,-76.688,45.94,2.7,MLr_1,"Istmina - Choco, Colombia"
2026-08-17 04:34:44,4.634,-76.126,89.37,2.3,MLr_1,"Toro - Valle del Cauca, Colombia"
2026-08-17 05:41:50,4.353,-76.818,45.94,2.0,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-17 06:45:41,4.587,-76.141,93.76,2.1,MLr_1,"Toro - Valle del Cauca, Colombia"
2026-08-17 06:49:30,4.416,-76.714,43.17,2.1,MLr_1,"Istmina - Choco, Colombia"
2026-08-17 07:04:25,4.443,-76.73,46.06,2.1,MLr_1,"Istmina - Choco, Colombia"
2026-08-17 07:37:42,4.41,-76.775,40.86,2.9,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-17 07:50:12,4.473,-76.65,35.55,2.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-17 09:38:18,4.266,-76.743,46.17,2.8,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-17 09:50:37,4.994,-76.262,97.46,2.9,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-17 13:00:12,4.488,-76.688,41.32,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-17 13:22:23,4.438,-76.768,43.75,2.1,MLr_1,"Istmina - Choco, Colombia"
2026-08-17 13:24:09,4.499,-76.693,37.16,2.1,MLr_1,"Istmina - Choco, Colombia"
2026-08-17 14:37:37,4.543,-76.691,42.71,2.9,MLr_1,"Medio San Juan (Andagoya) - Choco, Colombia"
2026-08-17 18:21:52,4.467,-76.708,43.17,3.4,MLr_1,"Istmina - Choco, Colombia"
2026-08-17 18:32:32,4.642,-76.668,13.22,2.7,MLr_1,"Sipi - Choco, Colombia"
2026-08-17 20:43:41,4.426,-76.713,40.05,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-17 20:46:22,4.418,-76.771,45.25,2.3,MLr_1,"Istmina - Choco, Colombia"
2026-08-17 20:51:02,4.372,-76.76,45.94,2.7,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-17 21:11:10,4.403,-76.746,42.94,2.2,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-17 21:41:31,4.418,-76.784,42.24,2.0,MLr_1,"Istmina - Choco, Colombia"
2026-08-17 21:49:54,4.414,-76.726,44.32,2.6,MLr_1,"Istmina - Choco, Colombia"
2026-08-17 22:14:30,4.651,-76.681,36.7,2.1,MLr_1,"Sipi - Choco, Colombia"
2026-08-17 23:49:03,4.719,-76.447,82.21,2.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-18 01:46:54,4.524,-76.672,42.94,2.1,MLr_1,"Medio San Juan (Andagoya) - Choco, Colombia"
2026-08-18 02:29:05,4.406,-76.771,45.48,2.1,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
